A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
BUF,BUF,BAL,BALBUF,10/24/2010,FALSE,7,M&T Bank Stadium,BAL,BUF,BUF@BAL,2010_BUF,37,2010,34,37,12.5,34
KC,KC,NYJ,KCNYJ,10/26/2008,FALSE,8,Giants Stadium,NYJ,KC,KC@NYJ,2008_KC,28,2008,24,28,14,24
KC,KC,NYJ,KCNYJ,10/26/2008,FALSE,8,Giants Stadium,NYJ,NYJ,KC@NYJ,2008_NYJ,24,2008,24,28,-14,28
ARI,ARI,BAL,ARIBAL,10/30/2011,FALSE,8,M&T Bank Stadium,BAL,ARI,ARI@BAL,2011_ARI,30,2011,27,30,11.5,27
ARI,ARI,BAL,ARIBAL,10/30/2011,FALSE,8,M&T Bank Stadium,BAL,BAL,ARI@BAL,2011_BAL,27,2011,27,30,-11.5,30
IND,IND,CIN,CININD,10/29/2017,FALSE,8,Paul Brown Stadium,CIN,CIN,IND@CIN,2017_CIN,23,2017,23,24,-11,24
IND,IND,CIN,CININD,10/29/2017,FALSE,8,Paul Brown Stadium,CIN,IND,IND@CIN,2017_IND,24,2017,23,24,11,23
CLE,CLE,LAC,CLELAC,11/5/2006,FALSE,9,Qualcomm Stadium,LAC,CLE,CLE@LAC,2006_CLE,32,2006,25,32,13.5,25
CLE,CLE,LAC,CLELAC,11/5/2006,FALSE,9,Qualcomm Stadium,LAC,LAC,CLE@LAC,2006_LAC,25,2006,25,32,-13.5,32
TB,TB,SEA,SEATB,11/3/2013,FALSE,9,CenturyLink Field,SEA,SEA,TB@SEA,2013_SEA,24,2013,24,27,-14.5,27
TB,TB,SEA,SEATB,11/3/2013,FALSE,9,CenturyLink Field,SEA,TB,TB@SEA,2013_TB,27,2013,24,27,14.5,24
LVR,LVR,SEA,LVRSEA,11/2/2014,FALSE,9,CenturyLink Field,SEA,LVR,LVR@SEA,2014_LVR,30,2014,24,30,13.5,24
LVR,LVR,SEA,LVRSEA,11/2/2014,FALSE,9,CenturyLink Field,SEA,SEA,LVR@SEA,2014_SEA,24,2014,24,30,-13.5,30
DET,DET,CAR,CARDET,11/16/2008,FALSE,11,Bank of America Stadium,CAR,CAR,DET@CAR,2008_CAR,22,2008,22,31,-14,31
DET,DET,CAR,CARDET,11/16/2008,FALSE,11,Bank of America Stadium,CAR,DET,DET@CAR,2008_DET,31,2008,22,31,14,22
TB,TB,GB,GBTB,11/20/2011,FALSE,11,Lambeau Field,GB,GB,TB@GB,2011_GB,26,2011,26,35,-13.5,35
TB,TB,GB,GBTB,11/20/2011,FALSE,11,Lambeau Field,GB,TB,TB@GB,2011_TB,35,2011,26,35,13.5,26
PHI,PHI,NE,NEPHI,11/25/2007,FALSE,12,Gillette Stadium,NE,NE,PHI@NE,2007_NE,28,2007,28,31,-24.5,31
PHI,PHI,NE,NEPHI,11/25/2007,FALSE,12,Gillette Stadium,NE,PHI,PHI@NE,2007_PHI,31,2007,28,31,24.5,28
GB,GB,PIT,GBPIT,11/26/2017,FALSE,12,Heinz Field,PIT,GB,GB@PIT,2017_GB,31,2017,28,31,14,28
GB,GB,PIT,GBPIT,11/26/2017,FALSE,12,Heinz Field,PIT,PIT,GB@PIT,2017_PIT,28,2017,28,31,-14,31
DET,DET,NE,DETNE,12/3/2006,FALSE,13,Gillette Stadium,NE,DET,DET@NE,2006_DET,28,2006,21,28,13.5,21
DET,DET,NE,DETNE,12/3/2006,FALSE,13,Gillette Stadium,NE,NE,DET@NE,2006_NE,21,2006,21,28,-13.5,28
IND,IND,NE,INDNE,12/4/2011,FALSE,13,Gillette Stadium,NE,IND,IND@NE,2011_IND,31,2011,24,31,20.5,24
IND,IND,NE,INDNE,12/4/2011,FALSE,13,Gillette Stadium,NE,NE,IND@NE,2011_NE,24,2011,24,31,-20.5,31
ATL,ATL,GB,ATLGB,12/8/2014,FALSE,14,Lambeau Field,GB,ATL,ATL@GB,2014_ATL,43,2014,37,43,13.5,37
ATL,ATL,GB,ATLGB,12/8/2014,FALSE,14,Lambeau Field,GB,GB,ATL@GB,2014_GB,37,2014,37,43,-13.5,43
HOU,HOU,DAL,DALHOU,12/11/2022,FALSE,14,AT&T Stadium,DAL,DAL,HOU@DAL,2022_DAL,23,2022,23,27,-17,27
HOU,HOU,DAL,DALHOU,12/11/2022,FALSE,14,AT&T Stadium,DAL,HOU,HOU@DAL,2022_HOU,27,2022,23,27,17,23
