A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
SF,SF,ATL,ATLSF,9/3/2000,FALSE,1,Georgia Dome,ATL,ATL,SF@ATL,2000_ATL,28,2000,28,36,-6.5,36
TEN,TEN,BUF,BUFTEN,9/3/2000,FALSE,1,Ralph Wilson Stadium,BUF,BUF,TEN@BUF,2000_BUF,13,2000,13,16,-1,16
JAX,CLE,CLE,CLEJAX,9/3/2000,FALSE,1,FirstEnergy Stadium,JAX,CLE,JAX@CLE,2000_CLE,27,2000,27,7,10.5,7
PHI,PHI,DAL,DALPHI,9/3/2000,FALSE,1,Texas Stadium,DAL,DAL,PHI@DAL,2000_DAL,41,2000,41,14,-6,14
NYJ,NYJ,GB,GBNYJ,9/3/2000,FALSE,1,Lambeau Field,GB,GB,NYJ@GB,2000_GB,20,2000,20,16,-2.5,16
IND,KC,KC,INDKC,9/3/2000,FALSE,1,Arrowhead Stadium,IND,KC,IND@KC,2000_KC,27,2000,27,14,3.5,14
SEA,SEA,MIA,MIASEA,9/3/2000,FALSE,1,Sun Life Stadium,MIA,MIA,SEA@MIA,2000_MIA,0,2000,0,23,-2,23
CHI,CHI,MIN,CHIMIN,9/3/2000,FALSE,1,Hubert H. Humphrey Metrodome,MIN,MIN,CHI@MIN,2000_MIN,27,2000,27,30,-4.5,30
TB,NE,NE,NETB,9/3/2000,FALSE,1,Foxboro Stadium,TB,NE,TB@NE,2000_NE,21,2000,21,16,3,16
DET,Pick,NO,DETNO,9/3/2000,FALSE,1,Louisiana Superdome,PICK,NO,DET@NO,2000_NO,14,2000,14,10,0,10
ARI,ARI,NYG,ARINYG,9/3/2000,FALSE,1,Giants Stadium,NYG,NYG,ARI@NYG,2000_NYG,16,2000,16,21,-6.5,21
LAC,LAC,LVR,LVRLAC,9/3/2000,FALSE,1,Oakland Coliseum,LVR,LVR,LAC@LVR,2000_LVR,6,2000,6,9,-6.5,9
BAL,PIT,PIT,BALPIT,9/3/2000,FALSE,1,Three Rivers Stadium,BAL,PIT,BAL@PIT,2000_PIT,16,2000,16,0,2.5,0
CAR,CAR,WAS,CARWAS,9/3/2000,FALSE,1,FedEx Field,WAS,WAS,CAR@WAS,2000_WAS,17,2000,17,20,-10.5,20
DEN,DEN,LAR,DENLAR,9/4/2000,FALSE,1,Edward Jones Dome,LAR,LAR,DEN@LAR,2000_LAR,36,2000,36,41,-6.5,41
DAL,DAL,ARI,ARIDAL,9/10/2000,FALSE,2,University of Phoenix Stadium,ARI,ARI,DAL@ARI,2000_ARI,31,2000,31,32,-3,32
JAX,JAX,BAL,BALJAX,9/10/2000,FALSE,2,M&T Bank Stadium,BAL,BAL,JAX@BAL,2000_BAL,36,2000,36,39,-3,39
GB,GB,BUF,BUFGB,9/10/2000,FALSE,2,Ralph Wilson Stadium,BUF,BUF,GB@BUF,2000_BUF,18,2000,18,27,-6,27
CLE,CLE,CIN,CINCLE,9/10/2000,FALSE,2,Paul Brown Stadium,CIN,CIN,CLE@CIN,2000_CIN,24,2000,24,7,-6,7
ATL,ATL,DEN,ATLDEN,9/10/2000,FALSE,2,Mile High Stadium,DEN,DEN,ATL@DEN,2000_DEN,14,2000,14,42,-4.5,42
WAS,DET,DET,DETWAS,9/10/2000,FALSE,2,Pontiac Silverdome,WAS,DET,WAS@DET,2000_DET,10,2000,10,15,5.5,15
LVR,LVR,IND,INDLVR,9/10/2000,FALSE,2,RCA Dome,IND,IND,LVR@IND,2000_IND,38,2000,38,31,-6.5,31
MIA,MIA,MIN,MIAMIN,9/10/2000,FALSE,2,Hubert H. Humphrey Metrodome,MIN,MIN,MIA@MIN,2000_MIN,7,2000,7,13,-3,13
NYG,NYG,PHI,NYGPHI,9/10/2000,FALSE,2,Veterans Stadium,PHI,PHI,NYG@PHI,2000_PHI,33,2000,33,18,-3,18
NO,NO,LAC,LACNO,9/10/2000,FALSE,2,Qualcomm Stadium,LAC,LAC,NO@LAC,2000_LAC,28,2000,28,27,-5.5,27
CAR,SF,SF,CARSF,9/10/2000,FALSE,2,Candlestick Park,CAR,SF,CAR@SF,2000_SF,38,2000,38,22,3,22
LAR,SEA,SEA,LARSEA,9/10/2000,FALSE,2,Husky Stadium,LAR,SEA,LAR@SEA,2000_SEA,37,2000,37,34,7.5,34
CHI,CHI,TB,CHITB,9/10/2000,FALSE,2,Raymond James Stadium,TB,TB,CHI@TB,2000_TB,0,2000,0,41,-7,41
KC,KC,TEN,KCTEN,9/10/2000,FALSE,2,Nissan Stadium,TEN,TEN,KC@TEN,2000_TEN,14,2000,14,17,-8.5,17
NE,NE,NYJ,NENYJ,9/11/2000,FALSE,2,Giants Stadium,NYJ,NYJ,NE@NYJ,2000_NYJ,19,2000,19,20,-6.5,20
ATL,ATL,CAR,ATLCAR,9/17/2000,FALSE,3,Bank of America Stadium,CAR,CAR,ATL@CAR,2000_CAR,15,2000,15,10,-6,10
NYG,NYG,CHI,CHINYG,9/17/2000,FALSE,3,Soldier Field,CHI,CHI,NYG@CHI,2000_CHI,14,2000,14,7,-2,7
PIT,CLE,CLE,CLEPIT,9/17/2000,FALSE,3,FirstEnergy Stadium,PIT,CLE,PIT@CLE,2000_CLE,20,2000,20,23,2.5,23
TB,DET,DET,DETTB,9/17/2000,FALSE,3,Pontiac Silverdome,TB,DET,TB@DET,2000_DET,31,2000,31,10,3,10
PHI,PHI,GB,GBPHI,9/17/2000,FALSE,3,Lambeau Field,GB,GB,PHI@GB,2000_GB,3,2000,3,6,-4,6
CIN,CIN,JAX,CINJAX,9/17/2000,FALSE,3,EverBank Field,JAX,JAX,CIN@JAX,2000_JAX,0,2000,0,13,-13,13
LAC,LAC,KC,KCLAC,9/17/2000,FALSE,3,Arrowhead Stadium,KC,KC,LAC@KC,2000_KC,10,2000,10,42,-4.5,42
BAL,MIA,MIA,BALMIA,9/17/2000,FALSE,3,Sun Life Stadium,BAL,MIA,BAL@MIA,2000_MIA,6,2000,6,19,1.5,19
MIN,MIN,NE,MINNE,9/17/2000,FALSE,3,Foxboro Stadium,NE,NE,MIN@NE,2000_NE,21,2000,21,13,-1.5,13
BUF,BUF,NYJ,BUFNYJ,9/17/2000,FALSE,3,Giants Stadium,NYJ,NYJ,BUF@NYJ,2000_NYJ,14,2000,14,27,-1,27
DEN,DEN,LVR,DENLVR,9/17/2000,FALSE,3,Oakland Coliseum,LVR,LVR,DEN@LVR,2000_LVR,33,2000,33,24,-3,24
NO,NO,SEA,NOSEA,9/17/2000,FALSE,3,Husky Stadium,SEA,SEA,NO@SEA,2000_SEA,10,2000,10,20,-6,20
SF,SF,LAR,LARSF,9/17/2000,FALSE,3,Edward Jones Dome,LAR,LAR,SF@LAR,2000_LAR,24,2000,24,41,-17,41
DAL,DAL,WAS,DALWAS,9/18/2000,FALSE,3,FedEx Field,WAS,WAS,DAL@WAS,2000_WAS,27,2000,27,21,-10.5,21
GB,GB,ARI,ARIGB,9/24/2000,FALSE,4,University of Phoenix Stadium,ARI,ARI,GB@ARI,2000_ARI,29,2000,29,3,-1,3
LAR,ATL,ATL,ATLLAR,9/24/2000,FALSE,4,Georgia Dome,LAR,ATL,LAR@ATL,2000_ATL,41,2000,41,20,6.5,20
CIN,CIN,BAL,BALCIN,9/24/2000,FALSE,4,M&T Bank Stadium,BAL,BAL,CIN@BAL,2000_BAL,0,2000,0,37,-11.5,37
DET,DET,CHI,CHIDET,9/24/2000,FALSE,4,Soldier Field,CHI,CHI,DET@CHI,2000_CHI,21,2000,21,14,-1,14
SF,SF,DAL,DALSF,9/24/2000,FALSE,4,Texas Stadium,DAL,DAL,SF@DAL,2000_DAL,41,2000,41,24,-6.5,24
KC,KC,DEN,DENKC,9/24/2000,FALSE,4,Mile High Stadium,DEN,DEN,KC@DEN,2000_DEN,23,2000,23,22,-7,22
NE,NE,MIA,MIANE,9/24/2000,FALSE,4,Sun Life Stadium,MIA,MIA,NE@MIA,2000_MIA,3,2000,3,10,-4.5,10
PHI,PHI,NO,NOPHI,9/24/2000,FALSE,4,Louisiana Superdome,NO,NO,PHI@NO,2000_NO,21,2000,21,7,-1.5,7
WAS,WAS,NYG,NYGWAS,9/24/2000,FALSE,4,Giants Stadium,NYG,NYG,WAS@NYG,2000_NYG,16,2000,16,6,-1,6
CLE,CLE,LVR,CLELVR,9/24/2000,FALSE,4,Oakland Coliseum,LVR,LVR,CLE@LVR,2000_LVR,10,2000,10,36,-10.5,36
TEN,PIT,PIT,PITTEN,9/24/2000,FALSE,4,Three Rivers Stadium,TEN,PIT,TEN@PIT,2000_PIT,23,2000,23,20,7,20
SEA,LAC,LAC,LACSEA,9/24/2000,FALSE,4,Qualcomm Stadium,SEA,LAC,SEA@LAC,2000_LAC,20,2000,20,12,2.5,12
NYJ,NYJ,TB,NYJTB,9/24/2000,FALSE,4,Raymond James Stadium,TB,TB,NYJ@TB,2000_TB,21,2000,21,17,-7,17
JAX,JAX,IND,INDJAX,9/25/2000,FALSE,4,RCA Dome,IND,IND,JAX@IND,2000_IND,14,2000,14,43,-3.5,43
IND,IND,BUF,BUFIND,10/1/2000,FALSE,5,Ralph Wilson Stadium,BUF,BUF,IND@BUF,2000_BUF,18,2000,18,16,-1.5,16
DAL,DAL,CAR,CARDAL,10/1/2000,FALSE,5,Bank of America Stadium,CAR,CAR,DAL@CAR,2000_CAR,16,2000,16,13,-6.5,13
MIA,CIN,CIN,CINMIA,10/1/2000,FALSE,5,Paul Brown Stadium,MIA,CIN,MIA@CIN,2000_CIN,31,2000,31,16,7,16
BAL,CLE,CLE,BALCLE,10/1/2000,FALSE,5,FirstEnergy Stadium,BAL,CLE,BAL@CLE,2000_CLE,12,2000,12,0,8.5,0
NE,NE,DEN,DENNE,10/1/2000,FALSE,5,Mile High Stadium,DEN,DEN,NE@DEN,2000_DEN,28,2000,28,19,-8.5,19
MIN,MIN,DET,DETMIN,10/1/2000,FALSE,5,Pontiac Silverdome,DET,DET,MIN@DET,2000_DET,31,2000,31,24,-1,24
CHI,CHI,GB,CHIGB,10/1/2000,FALSE,5,Lambeau Field,GB,GB,CHI@GB,2000_GB,27,2000,27,24,-5.5,24
PIT,PIT,JAX,JAXPIT,10/1/2000,FALSE,5,EverBank Field,JAX,JAX,PIT@JAX,2000_JAX,24,2000,24,13,-11,13
ATL,ATL,PHI,ATLPHI,10/1/2000,FALSE,5,Veterans Stadium,PHI,PHI,ATL@PHI,2000_PHI,10,2000,10,38,-3,38
ARI,ARI,SF,ARISF,10/1/2000,FALSE,5,Candlestick Park,SF,SF,ARI@SF,2000_SF,20,2000,20,27,-3.5,27
LAC,LAC,LAR,LACLAR,10/1/2000,FALSE,5,Edward Jones Dome,LAR,LAR,LAC@LAR,2000_LAR,31,2000,31,57,-17,57
NYG,NYG,TEN,NYGTEN,10/1/2000,FALSE,5,Nissan Stadium,TEN,TEN,NYG@TEN,2000_TEN,14,2000,14,28,-5,28
TB,TB,WAS,TBWAS,10/1/2000,FALSE,5,FedEx Field,WAS,WAS,TB@WAS,2000_WAS,17,2000,17,20,-1.5,20
SEA,SEA,KC,KCSEA,10/2/2000,FALSE,5,Arrowhead Stadium,KC,KC,SEA@KC,2000_KC,17,2000,17,24,-4,24
CLE,CLE,ARI,ARICLE,10/8/2000,FALSE,6,University of Phoenix Stadium,ARI,ARI,CLE@ARI,2000_ARI,21,2000,21,29,-4.5,29
NYG,NYG,ATL,ATLNYG,10/8/2000,FALSE,6,Georgia Dome,ATL,ATL,NYG@ATL,2000_ATL,13,2000,13,6,-1,6
SEA,SEA,CAR,CARSEA,10/8/2000,FALSE,6,Bank of America Stadium,CAR,CAR,SEA@CAR,2000_CAR,3,2000,3,26,-3.5,26
NO,NO,CHI,CHINO,10/8/2000,FALSE,6,Soldier Field,CHI,CHI,NO@CHI,2000_CHI,31,2000,31,10,-5.5,10
TEN,CIN,CIN,CINTEN,10/8/2000,FALSE,6,Paul Brown Stadium,TEN,CIN,TEN@CIN,2000_CIN,23,2000,23,14,10,14
GB,GB,DET,DETGB,10/8/2000,FALSE,6,Pontiac Silverdome,DET,DET,GB@DET,2000_DET,24,2000,24,31,-3,31
BAL,BAL,JAX,BALJAX,10/8/2000,FALSE,6,EverBank Field,JAX,JAX,BAL@JAX,2000_JAX,15,2000,15,10,-2.5,10
BUF,BUF,MIA,BUFMIA,10/8/2000,FALSE,6,Sun Life Stadium,MIA,MIA,BUF@MIA,2000_MIA,13,2000,13,22,-2,22
IND,NE,NE,INDNE,10/8/2000,FALSE,6,Foxboro Stadium,IND,NE,IND@NE,2000_NE,16,2000,16,24,3.5,24
PIT,PIT,NYJ,NYJPIT,10/8/2000,FALSE,6,Giants Stadium,NYJ,NYJ,PIT@NYJ,2000_NYJ,20,2000,20,3,-8,3
WAS,PHI,PHI,PHIWAS,10/8/2000,FALSE,6,Veterans Stadium,WAS,PHI,WAS@PHI,2000_PHI,17,2000,17,14,3.5,14
DEN,LAC,LAC,DENLAC,10/8/2000,FALSE,6,Qualcomm Stadium,DEN,LAC,DEN@LAC,2000_LAC,21,2000,21,7,6.5,7
LVR,SF,SF,LVRSF,10/8/2000,FALSE,6,Candlestick Park,LVR,SF,LVR@SF,2000_SF,34,2000,34,28,4.5,28
TB,TB,MIN,MINTB,10/9/2000,FALSE,6,Hubert H. Humphrey Metrodome,MIN,MIN,TB@MIN,2000_MIN,23,2000,23,30,-1,30
PHI,ARI,ARI,ARIPHI,10/15/2000,FALSE,7,University of Phoenix Stadium,PHI,ARI,PHI@ARI,2000_ARI,33,2000,33,14,2.5,14
LAC,LAC,BUF,BUFLAC,10/15/2000,FALSE,7,Ralph Wilson Stadium,BUF,BUF,LAC@BUF,2000_BUF,24,2000,24,27,-10,27
MIN,CHI,CHI,CHIMIN,10/15/2000,FALSE,7,Soldier Field,MIN,CHI,MIN@CHI,2000_CHI,28,2000,28,16,6,16
CLE,CLE,DEN,CLEDEN,10/15/2000,FALSE,7,Mile High Stadium,DEN,DEN,CLE@DEN,2000_DEN,10,2000,10,44,-12.5,44
SF,SF,GB,GBSF,10/15/2000,FALSE,7,Lambeau Field,GB,GB,SF@GB,2000_GB,28,2000,28,31,-4.5,31
LVR,LVR,KC,KCLVR,10/15/2000,FALSE,7,Arrowhead Stadium,KC,KC,LVR@KC,2000_KC,20,2000,20,17,-3,17
NYJ,NYJ,NE,NENYJ,10/15/2000,FALSE,7,Foxboro Stadium,NE,NE,NYJ@NE,2000_NE,34,2000,34,17,-3,17
CAR,Pick,NO,CARNO,10/15/2000,FALSE,7,Louisiana Superdome,PICK,NO,CAR@NO,2000_NO,6,2000,6,24,0,24
DAL,DAL,NYG,DALNYG,10/15/2000,FALSE,7,Giants Stadium,NYG,NYG,DAL@NYG,2000_NYG,14,2000,14,19,-4,19
CIN,CIN,PIT,CINPIT,10/15/2000,FALSE,7,Three Rivers Stadium,PIT,PIT,CIN@PIT,2000_PIT,0,2000,0,15,-8.5,15
IND,SEA,SEA,INDSEA,10/15/2000,FALSE,7,Husky Stadium,IND,SEA,IND@SEA,2000_SEA,37,2000,37,24,5.5,24
ATL,ATL,LAR,ATLLAR,10/15/2000,FALSE,7,Edward Jones Dome,LAR,LAR,ATL@LAR,2000_LAR,29,2000,29,45,-18,45
BAL,BAL,WAS,BALWAS,10/15/2000,FALSE,7,FedEx Field,WAS,WAS,BAL@WAS,2000_WAS,3,2000,3,10,-3.5,10
JAX,JAX,TEN,JAXTEN,10/16/2000,FALSE,7,Nissan Stadium,TEN,TEN,JAX@TEN,2000_TEN,13,2000,13,27,-6,27
DET,DET,TB,DETTB,10/19/2000,FALSE,8,Raymond James Stadium,TB,TB,DET@TB,2000_TB,28,2000,28,14,-8,14
NO,ATL,ATL,ATLNO,10/22/2000,FALSE,8,Georgia Dome,NO,ATL,NO@ATL,2000_ATL,21,2000,21,19,1.5,19
TEN,TEN,BAL,BALTEN,10/22/2000,FALSE,8,M&T Bank Stadium,BAL,BAL,TEN@BAL,2000_BAL,14,2000,14,6,-1,6
SF,SF,CAR,CARSF,10/22/2000,FALSE,8,Bank of America Stadium,CAR,CAR,SF@CAR,2000_CAR,16,2000,16,34,-3,34
DEN,CIN,CIN,CINDEN,10/22/2000,FALSE,8,Paul Brown Stadium,DEN,CIN,DEN@CIN,2000_CIN,21,2000,21,31,10,31
ARI,ARI,DAL,ARIDAL,10/22/2000,FALSE,8,Texas Stadium,DAL,DAL,ARI@DAL,2000_DAL,7,2000,7,48,-7,48
NE,NE,IND,INDNE,10/22/2000,FALSE,8,RCA Dome,IND,IND,NE@IND,2000_IND,23,2000,23,30,-8.5,30
WAS,JAX,JAX,JAXWAS,10/22/2000,FALSE,8,EverBank Field,WAS,JAX,WAS@JAX,2000_JAX,35,2000,35,16,4,16
LAR,KC,KC,KCLAR,10/22/2000,FALSE,8,Arrowhead Stadium,LAR,KC,LAR@KC,2000_KC,34,2000,34,54,7,54
BUF,BUF,MIN,BUFMIN,10/22/2000,FALSE,8,Hubert H. Humphrey Metrodome,MIN,MIN,BUF@MIN,2000_MIN,27,2000,27,31,-6.5,31
SEA,SEA,LVR,LVRSEA,10/22/2000,FALSE,8,Oakland Coliseum,LVR,LVR,SEA@LVR,2000_LVR,3,2000,3,31,-7.5,31
CHI,CHI,PHI,CHIPHI,10/22/2000,FALSE,8,Veterans Stadium,PHI,PHI,CHI@PHI,2000_PHI,9,2000,9,13,-6.5,13
CLE,CLE,PIT,CLEPIT,10/22/2000,FALSE,8,Three Rivers Stadium,PIT,PIT,CLE@PIT,2000_PIT,0,2000,0,22,-9,22
MIA,MIA,NYJ,MIANYJ,10/23/2000,FALSE,8,Giants Stadium,NYJ,NYJ,MIA@NYJ,2000_NYJ,37,2000,37,40,-3,40
NO,ARI,ARI,ARINO,10/29/2000,FALSE,9,University of Phoenix Stadium,NO,ARI,NO@ARI,2000_ARI,21,2000,21,10,6,10
CAR,ATL,ATL,ATLCAR,10/29/2000,FALSE,9,Georgia Dome,CAR,ATL,CAR@ATL,2000_ATL,12,2000,12,13,3,13
PIT,PIT,BAL,BALPIT,10/29/2000,FALSE,9,M&T Bank Stadium,BAL,BAL,PIT@BAL,2000_BAL,9,2000,9,6,-4.5,6
NYJ,NYJ,BUF,BUFNYJ,10/29/2000,FALSE,9,Ralph Wilson Stadium,BUF,BUF,NYJ@BUF,2000_BUF,20,2000,20,23,-3.5,23
CIN,CLE,CLE,CINCLE,10/29/2000,FALSE,9,FirstEnergy Stadium,CIN,CLE,CIN@CLE,2000_CLE,12,2000,12,3,3,3
JAX,JAX,DAL,DALJAX,10/29/2000,FALSE,9,Texas Stadium,DAL,DAL,JAX@DAL,2000_DAL,23,2000,23,17,-4,17
DET,DET,IND,DETIND,10/29/2000,FALSE,9,RCA Dome,IND,IND,DET@IND,2000_IND,18,2000,18,30,-7,30
GB,GB,MIA,GBMIA,10/29/2000,FALSE,9,Sun Life Stadium,MIA,MIA,GB@MIA,2000_MIA,20,2000,20,28,-4.5,28
PHI,PHI,NYG,NYGPHI,10/29/2000,FALSE,9,Giants Stadium,NYG,NYG,PHI@NYG,2000_NYG,7,2000,7,24,-3.5,24
LVR,LAC,LAC,LVRLAC,10/29/2000,FALSE,9,Qualcomm Stadium,LVR,LAC,LVR@LAC,2000_LAC,15,2000,15,13,6.5,13
LAR,SF,SF,LARSF,10/29/2000,FALSE,9,Candlestick Park,LAR,SF,LAR@SF,2000_SF,34,2000,34,24,7,24
KC,SEA,SEA,KCSEA,10/29/2000,FALSE,9,Husky Stadium,KC,SEA,KC@SEA,2000_SEA,24,2000,24,19,4,19
MIN,MIN,TB,MINTB,10/29/2000,FALSE,9,Raymond James Stadium,TB,TB,MIN@TB,2000_TB,13,2000,13,41,-3,41
TEN,TEN,WAS,TENWAS,10/30/2000,FALSE,9,FedEx Field,WAS,WAS,TEN@WAS,2000_WAS,27,2000,27,21,-4,21
WAS,ARI,ARI,ARIWAS,11/5/2000,FALSE,10,University of Phoenix Stadium,WAS,ARI,WAS@ARI,2000_ARI,15,2000,15,16,10,16
TB,ATL,ATL,ATLTB,11/5/2000,FALSE,10,Georgia Dome,TB,ATL,TB@ATL,2000_ATL,27,2000,27,14,7,14
IND,CHI,CHI,CHIIND,11/5/2000,FALSE,10,Soldier Field,IND,CHI,IND@CHI,2000_CHI,24,2000,24,27,7,27
BAL,CIN,CIN,BALCIN,11/5/2000,FALSE,10,Paul Brown Stadium,BAL,CIN,BAL@CIN,2000_CIN,27,2000,27,7,6,7
NYG,CLE,CLE,CLENYG,11/5/2000,FALSE,10,FirstEnergy Stadium,NYG,CLE,NYG@CLE,2000_CLE,24,2000,24,3,10,3
MIA,MIA,DET,DETMIA,11/5/2000,FALSE,10,Pontiac Silverdome,DET,DET,MIA@DET,2000_DET,23,2000,23,8,-2.5,8
BUF,BUF,NE,BUFNE,11/5/2000,FALSE,10,Foxboro Stadium,NE,NE,BUF@NE,2000_NE,16,2000,16,13,-2,13
SF,SF,NO,NOSF,11/5/2000,FALSE,10,Louisiana Superdome,NO,NO,SF@NO,2000_NO,15,2000,15,31,-5.5,31
DEN,DEN,NYJ,DENNYJ,11/5/2000,FALSE,10,Giants Stadium,NYJ,NYJ,DEN@NYJ,2000_NYJ,30,2000,30,23,-3,23
KC,KC,LVR,KCLVR,11/5/2000,FALSE,10,Oakland Coliseum,LVR,LVR,KC@LVR,2000_LVR,31,2000,31,49,-3.5,49
DAL,DAL,PHI,DALPHI,11/5/2000,FALSE,10,Veterans Stadium,PHI,PHI,DAL@PHI,2000_PHI,13,2000,13,16,-3,16
LAC,LAC,SEA,LACSEA,11/5/2000,FALSE,10,Husky Stadium,SEA,SEA,LAC@SEA,2000_SEA,15,2000,15,17,-4.5,17
CAR,CAR,LAR,CARLAR,11/5/2000,FALSE,10,Edward Jones Dome,LAR,LAR,CAR@LAR,2000_LAR,27,2000,27,24,-13.5,24
PIT,PIT,TEN,PITTEN,11/5/2000,FALSE,10,Nissan Stadium,TEN,TEN,PIT@TEN,2000_TEN,7,2000,7,9,-8,9
MIN,GB,GB,GBMIN,11/6/2000,FALSE,10,Lambeau Field,MIN,GB,MIN@GB,2000_GB,20,2000,20,26,3.5,26
CHI,CHI,BUF,BUFCHI,11/12/2000,FALSE,11,Ralph Wilson Stadium,BUF,BUF,CHI@BUF,2000_BUF,3,2000,3,20,-7,20
NO,CAR,CAR,CARNO,11/12/2000,FALSE,11,Bank of America Stadium,NO,CAR,NO@CAR,2000_CAR,20,2000,20,10,2,10
NE,CLE,CLE,CLENE,11/12/2000,FALSE,11,FirstEnergy Stadium,NE,CLE,NE@CLE,2000_CLE,11,2000,11,19,7,19
CIN,CIN,DAL,CINDAL,11/12/2000,FALSE,11,Texas Stadium,DAL,DAL,CIN@DAL,2000_DAL,6,2000,6,23,-8.5,23
ATL,ATL,DET,ATLDET,11/12/2000,FALSE,11,Pontiac Silverdome,DET,DET,ATL@DET,2000_DET,10,2000,10,13,-8.5,13
NYJ,NYJ,IND,INDNYJ,11/12/2000,FALSE,11,RCA Dome,IND,IND,NYJ@IND,2000_IND,15,2000,15,23,-6,23
SEA,SEA,JAX,JAXSEA,11/12/2000,FALSE,11,EverBank Field,JAX,JAX,SEA@JAX,2000_JAX,28,2000,28,21,-7.5,21
ARI,ARI,MIN,ARIMIN,11/12/2000,FALSE,11,Hubert H. Humphrey Metrodome,MIN,MIN,ARI@MIN,2000_MIN,14,2000,14,31,-12.5,31
LAR,NYG,NYG,LARNYG,11/12/2000,FALSE,11,Giants Stadium,LAR,NYG,LAR@NYG,2000_NYG,38,2000,38,24,2,24
PHI,PHI,PIT,PHIPIT,11/12/2000,FALSE,11,Three Rivers Stadium,PIT,PIT,PHI@PIT,2000_PIT,26,2000,26,23,-3.5,23
MIA,LAC,LAC,LACMIA,11/12/2000,FALSE,11,Qualcomm Stadium,MIA,LAC,MIA@LAC,2000_LAC,17,2000,17,7,5,7
KC,SF,SF,KCSF,11/12/2000,FALSE,11,Candlestick Park,KC,SF,KC@SF,2000_SF,7,2000,7,21,3.5,21
GB,GB,TB,GBTB,11/12/2000,FALSE,11,Raymond James Stadium,TB,TB,GB@TB,2000_TB,15,2000,15,20,-9,20
BAL,BAL,TEN,BALTEN,11/12/2000,FALSE,11,Nissan Stadium,TEN,TEN,BAL@TEN,2000_TEN,24,2000,24,23,-4,23
LVR,LVR,DEN,DENLVR,11/13/2000,FALSE,11,Mile High Stadium,DEN,DEN,LVR@DEN,2000_DEN,24,2000,24,27,-3,27
DAL,DAL,BAL,BALDAL,11/19/2000,FALSE,12,M&T Bank Stadium,BAL,BAL,DAL@BAL,2000_BAL,0,2000,0,27,-7,27
TB,CHI,CHI,CHITB,11/19/2000,FALSE,12,Soldier Field,TB,CHI,TB@CHI,2000_CHI,10,2000,10,13,8,13
LAC,LAC,DEN,DENLAC,11/19/2000,FALSE,12,Mile High Stadium,DEN,DEN,LAC@DEN,2000_DEN,37,2000,37,38,-9.5,38
IND,GB,GB,GBIND,11/19/2000,FALSE,12,Lambeau Field,IND,GB,IND@GB,2000_GB,24,2000,24,26,6,26
BUF,BUF,KC,BUFKC,11/19/2000,FALSE,12,Arrowhead Stadium,KC,KC,BUF@KC,2000_KC,21,2000,21,17,-3,17
NYJ,NYJ,MIA,MIANYJ,11/19/2000,FALSE,12,Sun Life Stadium,MIA,MIA,NYJ@MIA,2000_MIA,20,2000,20,3,-3.5,3
CAR,CAR,MIN,CARMIN,11/19/2000,FALSE,12,Hubert H. Humphrey Metrodome,MIN,MIN,CAR@MIN,2000_MIN,17,2000,17,31,-9.5,31
CIN,CIN,NE,CINNE,11/19/2000,FALSE,12,Foxboro Stadium,NE,NE,CIN@NE,2000_NE,13,2000,13,16,-7,16
LVR,NO,NO,LVRNO,11/19/2000,FALSE,12,Louisiana Superdome,LVR,NO,LVR@NO,2000_NO,31,2000,31,22,3,22
DET,DET,NYG,DETNYG,11/19/2000,FALSE,12,Giants Stadium,NYG,NYG,DET@NYG,2000_NYG,31,2000,31,21,-5,21
ARI,ARI,PHI,ARIPHI,11/19/2000,FALSE,12,Veterans Stadium,PHI,PHI,ARI@PHI,2000_PHI,9,2000,9,34,-7,34
JAX,JAX,PIT,JAXPIT,11/19/2000,FALSE,12,Three Rivers Stadium,PIT,PIT,JAX@PIT,2000_PIT,34,2000,34,24,-3,24
ATL,ATL,SF,ATLSF,11/19/2000,FALSE,12,Candlestick Park,SF,SF,ATL@SF,2000_SF,6,2000,6,16,-5.5,16
CLE,CLE,TEN,CLETEN,11/19/2000,FALSE,12,Nissan Stadium,TEN,TEN,CLE@TEN,2000_TEN,10,2000,10,24,-16,24
WAS,WAS,LAR,LARWAS,11/20/2000,FALSE,12,Edward Jones Dome,LAR,LAR,WAS@LAR,2000_LAR,33,2000,33,20,-5.5,20
MIN,DAL,DAL,DALMIN,11/23/2000,FALSE,13,Texas Stadium,MIN,DAL,MIN@DAL,2000_DAL,27,2000,27,15,7,15
NE,NE,DET,DETNE,11/23/2000,FALSE,13,Pontiac Silverdome,DET,DET,NE@DET,2000_DET,9,2000,9,34,-6.5,34
NYG,ARI,ARI,ARINYG,11/26/2000,FALSE,13,University of Phoenix Stadium,NYG,ARI,NYG@ARI,2000_ARI,31,2000,31,7,6,7
CLE,CLE,BAL,BALCLE,11/26/2000,FALSE,13,M&T Bank Stadium,BAL,BAL,CLE@BAL,2000_BAL,7,2000,7,44,-15,44
PIT,CIN,CIN,CINPIT,11/26/2000,FALSE,13,Paul Brown Stadium,PIT,CIN,PIT@CIN,2000_CIN,48,2000,48,28,4,28
